Country,ID
Finland,1
Denmark,2
Switzerland,3
Iceland,4
Netherlands,5
Norway,6
Sweden,7
Luxembourg,8
New Zealand,9
Austria,10
Australia,11
Israel,12
Germany,13
Canada,14
Ireland,15
Costa Rica,16
United Kingdom,17
Czech Republic,18
United States,19
Belgium,20
France,21
Bahrain,22
Malta,23
Taiwan Province of China,24
United Arab Emirates,25
Saudi Arabia,26
Spain,27
Italy,28
Slovenia,29
Guatemala,30
Uruguay,31
Singapore,32
Kosovo,33
Slovakia,34
Brazil,35
Mexico,36
Jamaica,37
Lithuania,38
Cyprus,39
Estonia,40
Panama,41
Uzbekistan,42
Chile,43
Poland,44
Kazakhstan,45
Romania,46
Kuwait,47
Serbia,48
El Salvador,49
Mauritius,50
Latvia,51
Colombia,52
Hungary,53
Thailand,54
Nicaragua,55
Japan,56
Argentina,57
Portugal,58
Honduras,59
Croatia,60
Philippines,61
South Korea,62
Peru,63
Bosnia and Herzegovina,64
Moldova,65
Ecuador,66
Kyrgyzstan,67
Greece,68
Bolivia,69
Mongolia,70
Paraguay,71
Montenegro,72
Dominican Republic,73
North Cyprus,74
Belarus,75
Russia,76
Hong Kong S.A.R. of China,77
Tajikistan,78
Vietnam,79
Libya,80
Malaysia,81
Indonesia,82
Congo (Brazzaville),83
China,84
Ivory Coast,85
Armenia,86
Nepal,87
Bulgaria,88
Maldives,89
Azerbaijan,90
Cameroon,91
Senegal,92
Albania,93
North Macedonia,94
Ghana,95
Niger,96
Turkmenistan,97
Gambia,98
Benin,99
Laos,100
Bangladesh,101
Guinea,102
South Africa,103
Turkey,104
Pakistan,105
Morocco,106
Venezuela,107
Georgia,108
Algeria,109
Ukraine,110
Iraq,111
Gabon,112
Burkina Faso,113
Cambodia,114
Mozambique,115
Nigeria,116
Mali,117
Iran,118
Uganda,119
Liberia,120
Kenya,121
Tunisia,122
Lebanon,123
Namibia,124
Palestinian Territories,125
Myanmar,126
Jordan,127
Chad,128
Sri Lanka,129
Swaziland,130
Comoros,131
Egypt,132
Ethiopia,133
Mauritania,134
Madagascar,135
Togo,136
Zambia,137
Sierra Leone,138
India,139
Burundi,140
Yemen,141
Tanzania,142
Haiti,143
Malawi,144
Lesotho,145
Botswana,146
Rwanda,147
Zimbabwe,148
Afghanistan,149
Czechia,150
State of Palestine,151
Turkiye,152
Congo (Kinshasa),153
