Country_ID,Ladder score,Logged GDP per capita,Social support,Freedom to make life choices,Year
1,7.842,10.775,0.954,0.949,2021
2,7.62,10.933,0.954,0.946,2021
3,7.571,11.117,0.942,0.919,2021
4,7.554,10.878,0.983,0.955,2021
5,7.464,10.932,0.942,0.913,2021
6,7.392,11.053,0.954,0.96,2021
7,7.363,10.867,0.934,0.945,2021
8,7.324,11.647,0.908,0.907,2021
9,7.277,10.643,0.948,0.929,2021
10,7.268,10.906,0.934,0.908,2021
11,7.183,10.796,0.94,0.914,2021
12,7.157,10.575,0.939,0.8,2021
13,7.155,10.873,0.903,0.875,2021
14,7.103,10.776,0.926,0.915,2021
15,7.085,11.342,0.947,0.879,2021
16,7.069,9.88,0.891,0.934,2021
17,7.064,10.707,0.934,0.859,2021
18,6.965,10.556,0.947,0.858,2021
19,6.951,11.023,0.92,0.837,2021
20,6.834,10.823,0.906,0.783,2021
21,6.69,10.704,0.942,0.822,2021
22,6.647,10.669,0.862,0.925,2021
23,6.602,10.674,0.931,0.927,2021
24,6.584,10.871,0.898,0.784,2021
25,6.561,11.085,0.844,0.932,2021
26,6.494,10.743,0.891,0.877,2021
27,6.491,10.571,0.932,0.761,2021
28,6.483,10.623,0.88,0.693,2021
29,6.461,10.529,0.948,0.949,2021
30,6.435,9.053,0.813,0.906,2021
31,6.431,9.966,0.925,0.896,2021
32,6.377,11.488,0.915,0.927,2021
33,6.372,9.318,0.821,0.869,2021
34,6.331,10.369,0.936,0.766,2021
35,6.33,9.577,0.882,0.804,2021
36,6.317,9.859,0.831,0.862,2021
37,6.309,9.186,0.877,0.89,2021
38,6.255,10.499,0.935,0.773,2021
39,6.223,10.576,0.802,0.763,2021
40,6.189,10.481,0.941,0.909,2021
41,6.18,10.35,0.896,0.872,2021
42,6.179,8.836,0.918,0.97,2021
43,6.172,10.071,0.882,0.742,2021
44,6.166,10.382,0.898,0.841,2021
45,6.152,10.155,0.952,0.853,2021
46,6.14,10.284,0.832,0.845,2021
47,6.106,10.817,0.843,0.867,2021
48,6.078,9.787,0.873,0.778,2021
49,6.061,9.054,0.762,0.888,2021
50,6.049,10.008,0.905,0.867,2021
51,6.032,10.315,0.927,0.715,2021
52,6.012,9.557,0.847,0.837,2021
53,5.992,10.358,0.943,0.755,2021
54,5.985,9.805,0.888,0.884,2021
55,5.972,8.62,0.864,0.836,2021
56,5.94,10.611,0.884,0.796,2021
57,5.929,9.962,0.898,0.828,2021
58,5.929,10.421,0.879,0.892,2021
59,5.919,8.648,0.812,0.857,2021
60,5.882,10.217,0.924,0.754,2021
61,5.88,9.076,0.83,0.917,2021
62,5.845,10.651,0.799,0.672,2021
63,5.84,9.458,0.832,0.822,2021
64,5.813,9.59,0.87,0.706,2021
65,5.766,9.454,0.857,0.822,2021
66,5.764,9.313,0.821,0.842,2021
67,5.744,8.538,0.893,0.935,2021
68,5.723,10.279,0.823,0.582,2021
69,5.716,9.046,0.81,0.875,2021
70,5.677,9.4,0.935,0.708,2021
71,5.653,9.448,0.893,0.876,2021
72,5.581,9.94,0.858,0.708,2021
73,5.545,9.802,0.853,0.86,2021
74,5.536,10.576,0.82,0.795,2021
75,5.534,9.853,0.91,0.65,2021
76,5.477,10.189,0.903,0.718,2021
77,5.477,11.0,0.836,0.717,2021
78,5.466,8.091,0.86,0.832,2021
79,5.411,8.973,0.85,0.94,2021
80,5.41,9.622,0.827,0.771,2021
81,5.384,10.238,0.817,0.895,2021
82,5.345,9.365,0.811,0.873,2021
83,5.342,8.117,0.636,0.695,2021
84,5.339,9.673,0.811,0.904,2021
85,5.306,8.551,0.644,0.741,2021
86,5.283,9.487,0.799,0.825,2021
87,5.269,8.12,0.774,0.782,2021
88,5.266,10.016,0.931,0.788,2021
89,5.198,9.826,0.913,0.854,2021
90,5.171,9.569,0.836,0.814,2021
91,5.142,8.189,0.71,0.731,2021
92,5.132,8.118,0.71,0.695,2021
93,5.117,9.52,0.697,0.785,2021
94,5.101,9.693,0.805,0.751,2021
95,5.088,8.58,0.727,0.807,2021
96,5.074,7.098,0.641,0.806,2021
97,5.066,9.629,0.983,0.877,2021
98,5.051,7.686,0.69,0.697,2021
99,5.045,8.087,0.489,0.757,2021
100,5.03,8.947,0.728,0.91,2021
101,5.025,8.454,0.693,0.877,2021
102,4.984,7.838,0.639,0.697,2021
103,4.956,9.403,0.86,0.749,2021
104,4.948,10.24,0.822,0.576,2021
105,4.934,8.458,0.651,0.726,2021
106,4.918,8.903,0.56,0.774,2021
107,4.892,9.073,0.861,0.615,2021
108,4.891,9.585,0.671,0.783,2021
109,4.887,9.342,0.802,0.48,2021
110,4.875,9.436,0.888,0.724,2021
111,4.854,9.24,0.746,0.63,2021
112,4.852,9.603,0.776,0.731,2021
113,4.834,7.678,0.672,0.695,2021
114,4.83,8.36,0.765,0.959,2021
115,4.794,7.158,0.744,0.882,2021
116,4.759,8.533,0.74,0.737,2021
117,4.723,7.744,0.724,0.697,2021
118,4.721,9.584,0.71,0.608,2021
119,4.636,7.677,0.781,0.709,2021
120,4.625,7.288,0.72,0.735,2021
121,4.607,8.361,0.688,0.779,2021
122,4.596,9.266,0.691,0.656,2021
123,4.584,9.626,0.848,0.525,2021
124,4.574,9.161,0.818,0.719,2021
125,4.517,8.485,0.826,0.653,2021
126,4.426,8.541,0.779,0.876,2021
127,4.395,9.182,0.767,0.755,2021
128,4.355,7.364,0.619,0.579,2021
129,4.325,9.47,0.827,0.841,2021
130,4.308,9.065,0.77,0.647,2021
131,4.289,8.031,0.626,0.548,2021
132,4.283,9.367,0.75,0.749,2021
133,4.275,7.694,0.764,0.752,2021
134,4.227,8.542,0.795,0.561,2021
135,4.208,7.396,0.686,0.552,2021
136,4.107,7.362,0.569,0.619,2021
137,4.073,8.145,0.708,0.782,2021
138,3.849,7.434,0.63,0.717,2021
139,3.819,8.755,0.603,0.893,2021
140,3.775,6.635,0.49,0.626,2021
141,3.658,7.578,0.832,0.602,2021
142,3.623,7.876,0.702,0.833,2021
143,3.615,7.477,0.54,0.593,2021
144,3.6,6.958,0.537,0.78,2021
145,3.512,7.926,0.787,0.715,2021
146,3.467,9.782,0.784,0.824,2021
147,3.415,7.676,0.552,0.897,2021
148,3.145,7.943,0.75,0.677,2021
149,2.523,7.695,0.463,0.382,2021
1,7.804,10.792,0.969,0.961,2023
2,7.586,10.962,0.954,0.934,2023
4,7.53,10.896,0.983,0.936,2023
12,7.473,10.639,0.943,0.809,2023
5,7.403,10.942,0.93,0.887,2023
7,7.395,10.883,0.939,0.948,2023
6,7.315,11.088,0.943,0.947,2023
3,7.24,11.164,0.92,0.891,2023
8,7.228,11.66,0.879,0.915,2023
9,7.123,10.662,0.952,0.887,2023
10,7.097,10.899,0.888,0.855,2023
11,7.095,10.821,0.934,0.89,2023
14,6.961,10.773,0.929,0.874,2023
15,6.911,11.527,0.905,0.874,2023
19,6.894,11.048,0.919,0.8,2023
13,6.892,10.879,0.896,0.846,2023
20,6.859,10.844,0.915,0.825,2023
150,6.845,10.611,0.953,0.903,2023
17,6.796,10.704,0.882,0.852,2023
38,6.763,10.568,0.939,0.748,2023
21,6.661,10.701,0.909,0.819,2023
29,6.65,10.588,0.951,0.913,2023
16,6.609,9.952,0.872,0.895,2023
46,6.589,10.339,0.848,0.856,2023
32,6.587,11.571,0.878,0.878,2023
25,6.571,11.145,0.826,0.942,2023
24,6.535,10.797,0.884,0.804,2023
31,6.494,10.037,0.913,0.895,2023
34,6.469,10.353,0.953,0.753,2023
26,6.463,10.715,0.884,0.894,2023
40,6.455,10.541,0.946,0.929,2023
27,6.436,10.54,0.932,0.782,2023
28,6.405,10.634,0.882,0.711,2023
33,6.368,9.359,0.844,0.861,2023
43,6.334,10.114,0.889,0.792,2023
36,6.33,9.85,0.804,0.856,2023
23,6.3,10.661,0.923,0.886,2023
41,6.265,10.305,0.896,0.855,2023
44,6.26,10.453,0.925,0.765,2023
55,6.259,8.618,0.853,0.877,2023
51,6.213,10.37,0.937,0.818,2023
22,6.173,10.776,0.844,0.944,2023
30,6.15,9.116,0.812,0.856,2023
45,6.144,10.166,0.931,0.853,2023
48,6.144,9.854,0.873,0.845,2023
39,6.13,10.611,0.826,0.724,2023
56,6.129,10.616,0.894,0.799,2023
60,6.125,10.341,0.917,0.757,2023
35,6.125,9.582,0.836,0.801,2023
49,6.122,9.089,0.755,0.918,2023
53,6.041,10.419,0.943,0.758,2023
57,6.024,9.959,0.891,0.823,2023
59,6.023,8.635,0.766,0.843,2023
42,6.014,8.948,0.875,0.938,2023
81,6.012,10.169,0.799,0.877,2023
58,5.968,10.429,0.878,0.902,2023
62,5.951,10.693,0.812,0.717,2023
68,5.931,10.288,0.835,0.568,2023
50,5.902,9.957,0.888,0.813,2023
54,5.843,9.751,0.874,0.85,2023
70,5.84,9.372,0.933,0.701,2023
67,5.825,8.486,0.911,0.934,2023
65,5.819,9.499,0.857,0.84,2023
84,5.818,9.738,0.836,0.882,2023
79,5.763,9.287,0.821,0.939,2023
71,5.738,9.51,0.906,0.891,2023
72,5.722,9.813,0.89,0.805,2023
37,5.703,9.165,0.867,0.822,2023
69,5.684,8.985,0.811,0.868,2023
76,5.661,10.21,0.889,0.719,2023
64,5.633,9.616,0.88,0.746,2023
52,5.63,9.584,0.822,0.804,2023
73,5.569,9.811,0.827,0.85,2023
66,5.559,9.27,0.806,0.802,2023
63,5.526,9.402,0.798,0.794,2023
61,5.523,8.979,0.78,0.919,2023
88,5.466,10.087,0.918,0.801,2023
87,5.36,8.256,0.748,0.808,2023
86,5.342,9.615,0.79,0.796,2023
78,5.33,8.237,0.836,0.832,2023
109,5.329,9.3,0.855,0.571,2023
77,5.308,10.966,0.817,0.687,2023
93,5.277,9.567,0.718,0.794,2023
82,5.277,9.385,0.804,0.88,2023
103,5.275,9.478,0.907,0.73,2023
83,5.267,8.095,0.605,0.73,2023
94,5.254,9.703,0.805,0.769,2023
107,5.211,5.527,0.839,0.659,2023
100,5.111,8.962,0.679,0.919,2023
108,5.109,9.646,0.716,0.786,2023
102,5.072,7.88,0.649,0.659,2023
110,5.071,9.314,0.878,0.795,2023
85,5.053,8.576,0.572,0.733,2023
112,5.035,9.537,0.746,0.642,2023
116,4.981,8.496,0.74,0.718,2023
91,4.973,8.217,0.686,0.686,2023
115,4.954,7.116,0.692,0.851,2023
111,4.941,9.098,0.718,0.646,2023
151,4.908,8.716,0.859,0.694,2023
106,4.903,8.973,0.553,0.787,2023
118,4.876,9.61,0.778,0.593,2023
92,4.855,8.155,0.629,0.772,2023
134,4.724,8.591,0.644,0.622,2023
113,4.638,7.667,0.663,0.696,2023
124,4.631,9.121,0.787,0.669,2023
152,4.614,10.307,0.796,0.475,2023
95,4.605,8.596,0.641,0.777,2023
105,4.555,8.54,0.601,0.766,2023
96,4.501,7.091,0.59,0.788,2023
122,4.497,9.244,0.73,0.576,2023
121,4.487,8.458,0.69,0.696,2023
129,4.442,9.491,0.826,0.787,2023
119,4.432,7.716,0.794,0.701,2023
128,4.397,7.261,0.722,0.677,2023
114,4.393,8.385,0.747,0.958,2023
99,4.374,8.103,0.437,0.743,2023
126,4.372,8.404,0.787,0.727,2023
101,4.282,8.685,0.544,0.845,2023
98,4.279,7.648,0.584,0.596,2023
117,4.198,7.655,0.593,0.713,2023
132,4.17,9.367,0.726,0.732,2023
136,4.137,7.673,0.595,0.657,2023
127,4.12,9.13,0.729,0.77,2023
133,4.091,7.739,0.782,0.72,2023
120,4.042,7.277,0.596,0.735,2023
139,4.036,8.759,0.608,0.897,2023
135,4.019,7.29,0.65,0.522,2023
137,3.982,8.074,0.694,0.791,2023
142,3.694,7.857,0.653,0.838,2023
131,3.545,8.075,0.471,0.47,2023
144,3.495,7.302,0.531,0.75,2023
146,3.435,9.629,0.753,0.742,2023
153,3.207,7.007,0.652,0.664,2023
148,3.204,7.641,0.69,0.654,2023
138,3.138,7.394,0.555,0.66,2023
123,2.392,9.478,0.53,0.474,2023
149,1.859,7.324,0.341,0.382,2023
